iter	RMSE
0	8.725872839
1	7.98045903
2	7.313467613
3	6.751421328
4	6.232734469
5	5.787552924
6	5.348450677
7	4.987407419
8	4.628231411
9	4.320779339
10	4.079432861
11	3.849382607
12	3.641413353
13	3.439304924
14	3.239405418
15	3.075459382
16	2.955199728
17	2.841749391
18	2.723793611
19	2.636318973
20	2.51776257
21	2.401520581
22	2.316349961
23	2.248026451
24	2.161194466
25	2.118713792
26	2.088628366
27	2.026094785
28	1.965618717
29	1.924485595
30	1.880748521
31	1.864412652
32	1.840208972
33	1.816635827
34	1.779461991
35	1.759864582
36	1.743631701
37	1.717213034
38	1.704715456
39	1.691378027
40	1.682574763
41	1.665967256
42	1.655408493
43	1.652984836
44	1.640715433
45	1.633298479
46	1.624102508
47	1.6167548
48	1.615302676
49	1.609193424
50	1.598022543
51	1.59340773
52	1.58849304
53	1.582557436
54	1.578420052
55	1.573721559
56	1.569693708
57	1.567002526
58	1.56504351
59	1.562030636
60	1.558966691
61	1.557548377
62	1.555179873
63	1.553949513
64	1.551150656
65	1.547067007
66	1.54576038
67	1.544079278
68	1.541968032
69	1.540279922
70	1.539145991
71	1.536568755
72	1.535364172
73	1.534184007
74	1.532378124
75	1.532029617
76	1.529311125
77	1.527160312
78	1.52624492
79	1.525129796
80	1.523278977
81	1.522251556
82	1.52057855
83	1.519632641
84	1.518152811
85	1.517566487
86	1.516730329
87	1.515767355
88	1.514231903
89	1.51336237
90	1.51261868
91	1.511278946
92	1.510025137
93	1.508774963
94	1.507588759
95	1.506723001
96	1.505708585
97	1.504373145
98	1.503325385
99	1.502240991
