iter	Passed	Remaining
0	0	32
1	0	33
2	0	31
3	1	32
4	1	32
5	2	32
6	2	32
7	2	32
8	3	32
9	3	31
10	3	30
11	4	30
12	4	29
13	4	29
14	5	28
15	5	28
16	5	27
17	6	27
18	6	27
19	6	27
20	7	27
21	7	26
22	7	26
23	8	26
24	8	25
25	8	25
26	9	25
27	9	24
28	10	24
29	10	24
30	10	24
31	11	23
32	11	23
33	12	23
34	12	23
35	12	23
36	13	22
37	14	23
38	15	23
39	16	24
40	16	23
41	17	24
42	17	23
43	18	23
44	18	22
45	18	22
46	19	21
47	19	21
48	19	20
49	20	20
50	20	19
51	21	19
52	21	19
53	21	18
54	22	18
55	22	17
56	22	17
57	23	16
58	23	16
59	23	15
60	24	15
61	24	15
62	25	14
63	25	14
64	26	14
65	26	13
66	26	13
67	27	12
68	27	12
69	27	11
70	28	11
71	28	11
72	29	10
73	29	10
74	29	9
75	30	9
76	30	9
77	30	8
78	31	8
79	31	7
80	31	7
81	32	7
82	32	6
83	33	6
84	33	5
85	33	5
86	34	5
87	34	4
88	34	4
89	35	3
90	35	3
91	35	3
92	36	2
93	36	2
94	37	1
95	37	1
96	38	1
97	38	0
98	39	0
99	39	0
